show_title,category,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,directors,directors_name
Brand New Cherry Flavor,TV (English),tt11343600,tvMiniSeries,Brand New Cherry Flavor,Brand New Cherry Flavor,0,2021,2021,342,"Drama,Horror,Mystery",7.1,18096,"nm1499979,nm1500577,nm3241497,nm4528537,nm6674331","Gandja Monteiro, Jake Schreier, Matt Sobel, Nick Antosca, Arkasha Stevenson"
The Good Doctor,TV (English),tt16671130,tvEpisode,The Good Doctor,The Good Doctor,0,2021,\N,29,"Biography,Documentary",,,\N,
Gone for Good,TV (Non-English),tt14252964,tvMiniSeries,Gone for Good,Disparu à jamais,0,2021,2021,247,"Crime,Drama,Mystery",6.3,4774,nm0575726,Juan Carlos Medina
Cocaine Cowboys: The Kings of Miami,TV (English),tt15049206,tvMiniSeries,Cocaine Cowboys: The Kings of Miami,Cocaine Cowboys: The Kings of Miami,0,2021,2021,273,"Crime,Documentary,History",7.1,3064,nm0169253,Billy Corben
Top Secret UFO Projects: Declassified,TV (English),tt14992232,tvSeries,Top Secret UFO Projects: Declassified,Top Secret UFO Projects: Declassified,0,2021,\N,\N,Documentary,5.6,1804,nm0882917,Petr Vachler
Car Masters: Rust to Riches,TV (English),tt8893550,tvSeries,Car Masters: Rust to Riches,Car Masters: Rust to Riches,0,2018,\N,40,Reality-TV,8.4,11307,\N,
How to Sell Drugs Online (Fast),TV (Non-English),tt9184994,tvSeries,How to Sell Drugs Online (Fast),How to Sell Drugs Online (Fast),0,2019,\N,30,"Comedy,Crime,Drama",7.8,38267,"nm0270990,nm0598706,nm5016703","Arne Feldhusen, Lars Montag, Mia Spengler"
Too Hot to Handle: Brazil,TV (Non-English),tt14902484,tvSeries,Too Hot to Handle: Brazil,Brincando com Fogo: Brasil,0,2021,\N,50,"Game-Show,Reality-TV,Romance",5.4,619,"nm14770190,nm11616746","Eugênia Ruggeri, Sarah Rodrigues"
Atypical,TV (English),tt8745986,short,Atypical,Atypical,0,2018,\N,7,"Short,Thriller",,,nm10001437,Mohamed Bashiti
Heist,TV (English),tt28751655,tvEpisode,Heist,Heist,0,2023,\N,\N,Comedy,,,nm14808565,Claire Fan
Lupin,TV (Non-English),tt2531336,tvSeries,Lupin,Lupin,0,2021,\N,45,"Action,Crime,Drama",7.5,128516,"nm0312315,nm0076307,nm1164755,nm0343898,nm1888700,nm0504642","Ludovic Bernard, Hugo Gélin, Daniel Grou, Louis Leterrier, Xavier Gens, Marcela Said"
Elize Matsunaga: Once Upon a Crime,TV (Non-English),tt14856998,tvMiniSeries,Elize Matsunaga: Once Upon a Crime,Elize Matsunaga: Era Uma Vez Um Crime,0,2021,2021,197,"Biography,Crime,Documentary",5.9,2480,nm5725884,Eliza Capai
Biohackers,TV (Non-English),tt9849210,tvSeries,Biohackers,Biohackers,0,2020,2021,44,"Drama,Sci-Fi,Thriller",6.8,11014,"nm0228542,nm2854538","Christian Ditter, Tim Trachte"
Pokémon Journeys: The Series,TV (English),tt14033496,tvSeries,Pokémon Journeys: The Series,Pokémon Journeys,0,2019,\N,25,"Adventure,Animation,Comedy",7.2,967,\N,
Somos.,TV (Non-English),tt14719590,tvMiniSeries,Somos.,Somos.,0,2021,2021,55,"Crime,Drama,History",7.1,1286,"nm0004071,nm1662689","Álvaro Curiel, Mariana Chenillo"
Sophie: A Murder in West Cork,TV (English),tt14681732,tvMiniSeries,Sophie: A Murder in West Cork,Sophie: A Murder in West Cork,0,2021,2021,164,"Crime,Documentary,History",6.8,5880,nm0235770,John Dower
Katla,TV (Non-English),tt11102190,tvSeries,Katla,Katla,0,2021,2021,\N,"Drama,Fantasy,Mystery",7,15881,"nm0466349,nm1156404,nm5008202","Baltasar Kormákur, Börkur Sigþórsson, Thora Hilmarsdottir"
Extraction 2,Films (English),tt28080275,tvEpisode,Extraction 2,Extraction 2,0,2023,\N,\N,Talk-Show,,,\N,
Paw Patrol: The Movie,Films (English),tt15340782,tvEpisode,Paw Patrol: The Movie,Paw Patrol: The Movie,0,2021,\N,\N,Family,,,\N,
Sniper: Assassin's End,Films (English),tt12305696,video,Sniper: Assassin's End,Sniper: Assassin's End,0,2020,\N,95,"Action,Thriller",5.3,4100,nm1543846,Kaare Andrews
Love at First Kiss,Films (Non-English),tt6018030,tvSeries,Love at First Kiss,Love at First Kiss,0,2016,\N,\N,"Reality-TV,Romance",5.1,52,nm0188575,Tony Croll
Narvik,Films (Non-English),tt5002154,tvEpisode,Narvik,Narvik,0,2015,\N,\N,Talk-Show,,,\N,
Sniper: Ghost Shooter,Films (English),tt5090828,video,Sniper: Ghost Shooter,Sniper: Ghost Shooter,0,2016,\N,99,"Action,Drama,Thriller",5.4,4848,nm0666806,Don Michael Paul
Glass Onion: A Knives Out Mystery,Films (English),tt26474050,tvEpisode,Glass Onion: A Knives Out Mystery,Glass Onion: A Knives Out Mystery,0,2023,\N,\N,"Action,Comedy,Talk-Show",,,\N,
Hard Target 2,Films (English),tt5241578,video,Hard Target 2,Hard Target 2,0,2016,\N,104,"Action,Thriller",5.2,6408,nm0004152,Roel Reiné
The Boss Baby: Christmas Bonus,Films (English),tt23546646,tvMovie,The Boss Baby: Christmas Bonus,The Boss Baby: Christmas Bonus,0,2022,\N,45,"Adventure,Animation,Comedy",5.2,701,"nm1818040,nm2276047","Matt Engstrom, Christo Stamboliev"
A Christmas Miracle for Daisy,Films (English),tt16275882,tvMovie,A Christmas Miracle for Daisy,A Christmas Miracle for Daisy,0,2021,\N,85,Romance,6,2334,nm0737517,Mike Rohl
Angel Falls Christmas,Films (English),tt15978102,tvMovie,Angel Falls Christmas,Angel Falls Christmas,0,2021,\N,84,"Drama,Romance",5,3450,nm0162013,Jerry Ciccoritti
The Lost Patient,Films (Non-English),tt22938576,tvMovie,The Lost Patient,Le patient,0,2022,\N,92,"Drama,Mystery,Thriller",5.3,2371,nm8852899,Christophe Charrier
ATHENA,Films (Non-English),tt6987740,short,ATHENA,ATHENA,0,2016,\N,17,"Fantasy,Short",,,nm6820372,Anselm Meyer
Untold: The Girlfriend Who Didn't Exist,Films (English),tt21340300,tvMiniSeries,Untold: The Girlfriend Who Didn't Exist,Untold: The Girlfriend Who Didn't Exist,0,2022,2022,124,"Biography,Documentary,Sport",,,,
Recurrence,Films (Non-English),tt28597232,short,Recurrence,Recurrence,0,2023,\N,\N,"Short,Thriller",,,nm15121613,Simon Barnett-Green
